date,type,category,amount,description
2026-01-01,income,Salary,50000,Monthly salary
2026-01-03,expense,rent,15000,Apartment rent
2026-01-05,expense,food,2500.50,Groceries
2026-01-08,expense,shopping,1800,Clothes
2026-01-10,income,Freelance,12000,Side project
2026-01-12,expense,transport,900,Metro recharge
2026-02-01, Income ,Salary ,50000,Monthly salary with spaces in type/category
2026-02-02,EXPENSE, FOOD ,3200,Uppercase type and spaced category
2026-02-03,expense,shopping,0,Zero amount expense
2026-02-05,expense,,1100,Missing category should become blank/unknown later
2026-02-07,expense,bills,not_available,Non-numeric amount should coerce to NaN/0
2026-02-09,income,bonus,7500.75,Decimal income
not_a_date,expense,food,450,Invalid date
,expense,medical,2000,Blank date
2026-03-01,expense,shopping,999.99,
2026-03-02,expense,food,2200,Food threshold trigger
2026-03-03,expense,shopping,1500,Shopping threshold trigger
2026-03-04,expense,electronics,25000,Highest expense candidate
2026-03-05,income,salary,50000,Monthly salary
2026-03-06,expense,transport,500,Duplicate test
2026-03-06,expense,transport,500,Duplicate test
2026-04-01,income,refund,-500,Negative income edge case
2026-04-02,expense,investment,-1000,Negative expense edge case
2026-04-03,expense,utilities,3500,Regular utility bill
2026-04-04,expense,food,7800,Large food expense to dominate category share
2026-04-05,income,salary,50000,Monthly salary
2026-04-06,,misc,600,Blank type should not count as income/expense
2026-04-07,expense,travel,999999.99,Huge outlier expense
